,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
105,2020-12-23,669.9086445480254,604.57870913535,734.067993900074,669.9086445480254,669.9086445480254,1.2250462902093835,1.2250462902093835,1.2250462902093835,1.2250462902093835,1.2250462902093835,1.2250462902093835,0.0,0.0,0.0,671.1336908382349
106,2020-12-24,673.983699583314,608.6942192707887,741.9782280684653,673.983699583314,673.983699583314,1.2077076163607212,1.2077076163607212,1.2077076163607212,1.2077076163607212,1.2077076163607212,1.2077076163607212,0.0,0.0,0.0,675.1914071996747
107,2020-12-28,690.2839197244683,624.181968099849,753.0032429500116,690.2839197244683,690.2839197244683,-0.041948689246965445,-0.041948689246965445,-0.041948689246965445,-0.041948689246965445,-0.041948689246965445,-0.041948689246965445,0.0,0.0,0.0,690.2419710352214
108,2020-12-29,694.358974759757,634.8060413143922,759.0497615167533,694.358974759757,694.358974759757,3.0293161804199835,3.0293161804199835,3.0293161804199835,3.0293161804199835,3.0293161804199835,3.0293161804199835,0.0,0.0,0.0,697.388290940177
109,2020-12-30,698.4340297950457,638.1356756161521,768.181921788892,698.4340297950457,698.4340297950457,1.2250462902046857,1.2250462902046857,1.2250462902046857,1.2250462902046857,1.2250462902046857,1.2250462902046857,0.0,0.0,0.0,699.6590760852504
110,2020-12-31,702.5090848303342,642.8095232589196,768.9776761949076,702.5090848303342,702.5090848303342,1.2077076163509266,1.2077076163509266,1.2077076163509266,1.2077076163509266,1.2077076163509266,1.2077076163509266,0.0,0.0,0.0,703.7167924466852
111,2021-01-04,718.8093049714887,653.3583820755797,783.676844956987,718.8093049714887,718.8093049714887,-0.041948689242441405,-0.041948689242441405,-0.041948689242441405,-0.041948689242441405,-0.041948689242441405,-0.041948689242441405,0.0,0.0,0.0,718.7673562822463
112,2021-01-05,722.8843600067772,662.4861664917233,788.8797366253667,722.8843600067773,722.8843600067773,3.029316180423129,3.029316180423129,3.029316180423129,3.029316180423129,3.029316180423129,3.029316180423129,0.0,0.0,0.0,725.9136761872004
113,2021-01-06,726.9594150420659,659.0960452167847,791.7515799450084,726.9594150420659,726.9594150420659,1.2250462902147736,1.2250462902147736,1.2250462902147736,1.2250462902147736,1.2250462902147736,1.2250462902147736,0.0,0.0,0.0,728.1844613322806
114,2021-01-07,730.1071271142632,664.4445912768771,793.5333921738339,730.1071271142632,730.1071271142632,1.2077076163551994,1.2077076163551994,1.2077076163551994,1.2077076163551994,1.2077076163551994,1.2077076163551994,0.0,0.0,0.0,731.3148347306184
115,2021-01-08,733.2548391864605,671.1958086395015,802.445394866675,733.2548391864605,733.2548391864605,1.973535721815464,1.973535721815464,1.973535721815464,1.973535721815464,1.973535721815464,1.973535721815464,0.0,0.0,0.0,735.2283749082759
116,2021-01-11,742.6979754030525,674.7420777751054,804.7127122197573,742.6979754030526,742.6979754030526,-0.041948689258463345,-0.041948689258463345,-0.041948689258463345,-0.041948689258463345,-0.041948689258463345,-0.041948689258463345,0.0,0.0,0.0,742.6560267137941
117,2021-01-12,745.8456874752501,682.3621490031472,809.1876166018538,745.8456874752501,745.8456874752501,3.0293161804262745,3.0293161804262745,3.0293161804262745,3.0293161804262745,3.0293161804262745,3.0293161804262745,0.0,0.0,0.0,748.8750036556763
118,2021-01-13,748.9933995474473,686.7690612370294,823.4374834413491,748.9933995474473,748.9933995474473,1.2250462902100763,1.2250462902100763,1.2250462902100763,1.2250462902100763,1.2250462902100763,1.2250462902100763,0.0,0.0,0.0,750.2184458376574
119,2021-01-14,752.1411116196447,689.0797408172,820.7566691702949,752.1411116196447,752.1411116196447,1.2077076163552725,1.2077076163552725,1.2077076163552725,1.2077076163552725,1.2077076163552725,1.2077076163552725,0.0,0.0,0.0,753.3488192359999
120,2021-01-15,755.2888236918421,685.3363052062707,820.5231032068043,755.2888236918421,755.2888236918421,1.9735357218140939,1.9735357218140939,1.9735357218140939,1.9735357218140939,1.9735357218140939,1.9735357218140939,0.0,0.0,0.0,757.2623594136562
121,2021-01-19,767.8796719806314,705.9083296603901,837.9068112132612,767.8796719806314,767.8796719806314,3.029316180420092,3.029316180420092,3.029316180420092,3.029316180420092,3.029316180420092,3.029316180420092,0.0,0.0,0.0,770.9089881610515
122,2021-01-20,768.8453846488733,701.99405297288,833.4370298782419,768.8453846488733,768.8453846488733,1.2250462902102979,1.2250462902102979,1.2250462902102979,1.2250462902102979,1.2250462902102979,1.2250462902102979,0.0,0.0,0.0,770.0704309390836
123,2021-01-21,769.811097317115,706.0807878159982,832.9978402307796,769.811097317115,769.811097317115,1.207707616355346,1.207707616355346,1.207707616355346,1.207707616355346,1.207707616355346,1.207707616355346,0.0,0.0,0.0,771.0188049334704
